replication,mean_total_time,median_total_time,p95_total_time,p99_total_time,mean_queueing_time,mean_batch_formation_time,mean_batch_validation_time,mean_consensus_time,mean_commit_time,time_weighted_Lq,throughput,num_transactions,num_batches
1,1020.5536142415235,1020.8460202388778,1920.2978018848057,2000.4372851766564,0.0236416856894819,1000.3502605169026,6.298173285626435,3.8846112138154445,3.326933561862793,0.002005835129091888,199.43272727272728,658128,1799
2,1020.7682641703864,1020.6429183749606,1920.8418460005532,2000.5446747521858,0.023344541189291152,1000.2157770133764,6.622463759031238,3.929928133046022,3.312114036348035,0.001997142148260794,199.87272727272727,659580,1799
3,1020.3175029266906,1020.3752089821592,1920.3231186001517,2000.4772084862452,0.023418957066405788,999.745634986065,6.672819215356071,3.8683212297745704,3.339797433891032,0.0020194992661444183,199.9169696969697,659726,1799
4,1021.2389063331992,1022.235240040402,1920.474954799806,2000.6548029872965,0.02216647330435839,1000.3188612674941,6.9951021998208365,3.9528913151868066,3.289477222345188,0.0017883297876935462,199.89515151515153,659654,1799
5,1019.7601753914336,1018.8929838698186,1920.9724522984288,2000.5048310269285,0.022983225328049903,999.1975027430627,6.639311398001319,3.9696684687738504,3.2644290078469065,0.001949413397175076,199.5981818181818,658674,1799
6,1020.895578658616,1021.0852629219573,1920.3087138730268,2000.7978990609624,0.0225550897875039,1000.1261292250358,6.6593527654315166,3.906152209975306,3.5232130291868287,0.001902665134947423,200.0218181818182,660072,1799
7,1020.9899519225191,1021.040517362394,1920.2902951268134,2000.5652801897088,0.023726591390390052,1000.4136782250602,6.656849749695293,3.9342726312742697,3.2965400607682662,0.002080326333931012,200.2569696969697,660848,1799
8,1021.2354723018586,1021.4267142933124,1920.820169478702,2000.3006568541696,0.022415159903913996,1000.9387199929829,6.281876156334096,3.9296118865972423,3.3982093623702516,0.0018617318503293006,199.40666666666667,658042,1799
9,1021.3968532052569,1020.7637566034009,1922.2175108067859,2001.0623791188889,0.02375212324968199,1000.7057769941174,6.68960486291394,3.8583151571864422,3.448528562224479,0.0020759423772541133,200.10363636363635,660342,1799
10,1020.5690475192282,1020.1364897570784,1920.0214958982995,2000.0247975326463,0.022279517015964426,1000.0326101544337,6.481581814693336,3.952221118241746,3.4122505838770625,0.0018683793753757135,200.18151515151516,660599,1799
11,1020.9809298115953,1020.748195269789,1920.9697021266209,2000.447482366401,0.023401381603878176,1000.1759953157161,6.792542763966469,3.9260929786920196,3.3890424569026525,0.0019798198197150943,200.17090909090908,660564,1799
12,1021.4877438881836,1022.2089111944115,1920.0389929829385,2000.6713152930668,0.02176602484654304,1000.9553017104329,6.7059404772120175,3.937957682050247,3.2011368103971125,0.0018300536608415053,199.70636363636365,659031,1799
13,1021.3629075753132,1021.85229032591,1920.8276387883186,2000.789491640635,0.021738000995447822,1000.5792252364756,6.872428636588425,3.897544401187165,3.3167245053690957,0.0018229378956587416,199.9,659670,1799
14,1020.5207393095961,1019.6041047206563,1921.0837632591852,2000.625441324742,0.0230559339909684,999.7650102769747,6.763071494709656,3.9056554534270775,3.3921973262671297,0.0019418835367253447,199.85545454545453,659523,1799
15,1020.5497744842427,1020.9749749047887,1920.5538251828784,2000.611226476269,0.021930296132612836,999.8935963272174,6.7825224611462005,3.8908151159492044,3.3087950961002845,0.0018276918268912898,199.48969696969698,658316,1799
16,1021.6280581172239,1023.1176811403202,1920.6193062752845,2000.4319358330122,0.024054326541878616,1001.3920672584131,6.447715826282414,3.858890409603668,3.2342523635393774,0.0020039267864859923,200.26393939393938,660871,1799
17,1019.8221064661768,1019.5581889229288,1920.8626656774416,2000.748125720111,0.02193088573170621,999.0527194370527,6.63702608953904,4.075226538668585,3.3642391527148394,0.001858051702264189,199.08272727272728,656973,1799
18,1019.5625838837548,1018.9090439023403,1920.7648783999048,2000.8839223689802,0.022336887104062984,999.1369651643902,6.460448574462756,3.9234696046440853,3.348964044914773,0.0018642959787127384,200.13090909090909,660432,1799
19,1020.5055363747335,1020.1741588005007,1921.3522384601445,2000.9686315749295,0.023012749286236124,999.7284873142913,6.908487741798318,3.835295984038396,3.334785992807063,0.0019498051388203018,200.1681818181818,660555,1799
20,1018.7318486625319,1017.620196415919,1919.4086239567412,2000.015547026305,0.02275992013697862,998.1713370828903,6.564029842291499,3.911512496788611,3.39187815890038,0.0018883782239119355,199.69424242424242,658991,1799
21,1020.1819352081751,1020.3515107632484,1919.5629482479487,2000.3848674893927,0.022789737833448686,999.6788723559541,6.574140488179403,3.8616879978183327,3.3719435187149025,0.0019050498164190697,199.82090909090908,659409,1799
22,1020.3838412686185,1020.7323775459543,1920.2901643591986,2000.4569434764492,0.02217719319162116,999.9258890261016,6.345779225361895,3.905958083209399,3.5180787383780414,0.0018247490201234195,200.17090909090908,660564,1799
23,1020.8812674873768,1020.6742183613642,1921.4702501537658,2001.1614464180184,0.02309131544438996,1000.1157154722249,6.70846905695352,4.01230182295979,3.3365874894620964,0.001927932761862459,199.69787878787878,659003,1799
24,1019.2317020736681,1018.4804767877722,1920.2798623234232,2000.5230145515839,0.02257338775200957,998.6407994931749,6.647415183105577,3.9559386363519997,3.2972073136235207,0.0018593250903589835,199.82363636363635,659418,1799
25,1020.9529426701804,1021.4377412692102,1920.736699069971,2000.9215182979037,0.02275892912122884,1000.0927353666023,6.763198558074425,3.940506292572037,3.452596636209377,0.00191898537293901,200.08121212121213,660268,1799
26,1022.0730473757005,1023.7054727188024,1920.767624111113,2000.567362023049,0.021516434883020377,1001.5930061439074,6.594558213771117,3.8890691482578084,3.3260110129164677,0.001731036770916503,199.5209090909091,658419,1799
27,1019.4801079248634,1018.0733772967869,1920.1893612641695,2000.1670701169037,0.0224986826138171,998.9660579426408,6.5353566022826435,3.910470196443096,3.389783348096036,0.0018548512876024707,199.4,658020,1799
28,1020.0573106079273,1020.3367141316448,1920.3569151659624,2000.4614078926077,0.023234810900544443,999.5214332798926,6.5733490615119745,3.946360890152688,3.3049412863718857,0.0019696697827735143,200.0009090909091,660003,1799
29,1020.1221682962438,1020.6910536294345,1920.9758771172344,2000.5473062510735,0.021460436900595986,999.5129444415638,6.676517229370757,3.8890960187565886,3.3739695142865305,0.0017124112390322558,199.96636363636364,659889,1799
30,1020.0501186667839,1019.5190573460877,1920.4021915305473,2000.6014071635764,0.022531370693312354,999.0900478196703,6.86703853503349,3.9007287555635486,3.4909910968720763,0.001867459233651186,199.74,659142,1799
