batch_size,mean_total_time,p95_total_time,mean_batch_formation_time,analytical_batch_formation,num_batches,avg_batch_size,throughput
10,77.45982307195972,132.57363202637862,56.75626568957118,22.5,31953,22.531195574223954,199.93363636363637
25,111.36211049244905,217.53087844535912,90.88269617683011,60.0,20088,35.85784953250707,199.89121212121213
50,170.97409770457637,319.2721042197945,150.5132778418408,122.5,11898,60.49669785360484,199.8590909090909
100,294.017115548313,559.7166762675326,273.34488226355427,247.5,6552,109.92785738087304,199.93545454545455
200,545.4414134911522,1028.3167734104352,524.8284153439536,497.5,3419,209.95342902711323,199.4557575757576
