batch_interval,mean_total_time,p95_total_time,mean_batch_formation_time,analytical_batch_formation,num_batches,avg_batch_size,throughput
0.5,270.62389015362953,495.9203182050941,249.9015921141399,250.0,7199,99.95378087589029,199.87727272727273
1.0,520.2487041749341,969.8428071965965,499.81197194821476,500.0,3599,200.1342831160958,200.07363636363635
2.0,1018.7354393837691,1919.4115361322474,998.5746768691375,1000.0,1799,399.91085506367494,199.83424242424243
5.0,2518.5715922950008,4769.48175150319,2497.9608494681806,2500.0,719,998.8421851289833,199.46575757575758
10.0,5014.498787733586,9518.461912405837,4993.766780126546,5000.0,359,1999.109422492401,199.30515151515152
