Model,Transactions,Mean Time (ms),Median Time (ms),Std Dev (ms),P95 Time (ms),P99 Time (ms),Min Time (ms),Max Time (ms),Throughput (TPS)
Permissioned DLT (M/M/c),659275,6.68945711711884,4.64684430971829,6.675760635605321,20.051979919116995,30.693318721455398,3.372406354174018e-06,88.62441651967856,199.78030303030303
Multi-Stage,660576,13.951234084446575,12.298298011046427,7.818401596948582,28.978204174450184,39.77353943864159,0.3932643003281555,122.27255535572112,200.17454545454547
Batch-Based,658655,171.47634967979462,167.5313295199885,91.99258074040492,319.55092481052804,356.31352525749656,2.6179132232755364,488.2636737599455,199.59242424242424
Priority-Based,660199,19.964557873197197,11.365341382315819,23.573012871020254,68.68911939736789,110.80151375637362,1.5329533198382705e-06,280.76464415789815,200.06030303030303
