Model,P50,P75,P90,P95,P99
Permissioned DLT (M/M/c),4.64684430971829,9.259419567456462,15.351693502725539,20.051979919116995,30.693318721455398
Multi-Stage,12.298298011046427,17.70390192615423,24.182196860920158,28.978204174450184,39.77353943864159
Batch-Based,167.5313295199885,245.36173259207317,300.4958496366726,319.55092481052804,356.31352525749656
Priority-Based,11.365341382315819,26.069416839618498,49.953380742772445,68.68911939736789,110.80151375637362
