Model,Mean Time (ms),P95 Time (ms),Mean_Score,P95_Score,Stability_Score,Overall_Score
Multi-Stage,13.951234084446575,28.978204174450184,95.59323144311021,97.01961412299147,98.66070845122957,97.246725776198
Permissioned DLT (M/M/c),6.68945711711884,20.051979919116995,100.0,100.0,100.0,93.22748568453923
Priority-Based,19.964557873197197,68.68911939736789,91.94407968398988,83.76049722115542,80.19469992592427,83.90950958929734
Batch-Based,171.47634967979462,319.55092481052804,0.0,0.0,0.0,0.0
